2026-02-21 01:19:21,065 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:19:21,066 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:19:21,066 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:19:21,068 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:19:21,217 | INFO     | bootstrap | Downloading Wan2GP offline model weights ...
2026-02-21 01:19:22,244 | INFO     | bootstrap | Wan2GP model saved to S:\infinitetalk\dist\data\models\wan2gp_mock.json
2026-02-21 01:19:22,244 | INFO     | bootstrap | Downloading InfiniteTalk offline model weights ...
2026-02-21 01:19:22,513 | INFO     | bootstrap | InfiniteTalk model saved to S:\infinitetalk\dist\data\models\infinitetalk_mock.json
2026-02-21 01:19:32,068 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:19:32,069 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:19:32,069 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:19:32,069 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:19:32,070 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:19:32,070 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:19:32,072 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:19:32,214 | INFO     | bootstrap | Wan2GP model already exists offline.
2026-02-21 01:19:32,215 | INFO     | bootstrap | InfiniteTalk model already exists offline.
2026-02-21 01:19:38,806 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:19:38,807 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:19:38,807 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:19:38,807 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:19:38,808 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:19:38,808 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:19:38,810 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:19:38,957 | INFO     | bootstrap | Wan2GP model already exists offline.
2026-02-21 01:19:38,957 | INFO     | bootstrap | InfiniteTalk model already exists offline.
2026-02-21 01:19:41,337 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:19:41,338 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:19:41,338 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:19:41,339 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:19:41,339 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:19:41,339 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:19:41,341 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:19:41,491 | INFO     | bootstrap | Wan2GP model already exists offline.
2026-02-21 01:19:41,492 | INFO     | bootstrap | InfiniteTalk model already exists offline.
2026-02-21 01:19:46,603 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:19:46,603 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:19:46,605 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:19:46,605 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:19:46,605 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:19:46,606 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:19:46,608 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:19:46,800 | INFO     | bootstrap | Wan2GP model already exists offline.
2026-02-21 01:19:46,800 | INFO     | bootstrap | InfiniteTalk model already exists offline.
2026-02-21 01:19:49,932 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:19:49,934 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:19:49,934 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:19:49,934 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:19:49,935 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:19:49,935 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:19:49,938 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:19:50,084 | INFO     | bootstrap | Wan2GP model already exists offline.
2026-02-21 01:19:50,085 | INFO     | bootstrap | InfiniteTalk model already exists offline.
2026-02-21 01:20:02,113 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:20:02,115 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:20:02,115 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:20:02,116 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:20:02,116 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:20:02,117 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:20:02,120 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:20:02,286 | INFO     | bootstrap | Wan2GP model already exists offline.
2026-02-21 01:20:02,287 | INFO     | bootstrap | InfiniteTalk model already exists offline.
2026-02-21 01:20:23,260 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:20:23,261 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:20:23,261 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
